Article Title,Link,Category,UUID,NID
"At UN General Assembly, Biden asks world to stand by Ukraine",https://www.channelnewsasia.com/world/un-general-assembly-biden-asks-world-stand-ukraine-3782196,World,fb6dadd5-a20b-46ec-a942-acee3bdcad81,3782196
China asks consulates in Hong Kong to give details on local staff,https://www.channelnewsasia.com/asia/china-asks-consulates-hong-kong-give-details-local-staff-3783196,Asia,46dd6d6b-c919-43ee-8392-46e8564abc2c,3783196
'Cybersecurity incident' hits International Criminal Court,https://www.channelnewsasia.com/world/cybersecurity-incident-hits-international-criminal-court-3783211,World,b58d6f20-95b9-45d6-818d-b2c981b091e0,3783211
"Putin and Xi to meet in Beijing in October, Russia says ",https://www.channelnewsasia.com/world/putin-xi-meet-october-russia-china-3782246,World,4e3ec05a-db5a-4a2e-b8a0-a7227ffcde70,3782246
"Climate change, conflict made Libya deluge more likely: Study",https://www.channelnewsasia.com/world/libya-floods-climate-change-conflict-derna-likely-research-3782936,World,05d87415-5526-46d7-bd66-4c3330578ef5,3782936
"China files appeal against WTO panel report on US steel, aluminium tariffs",https://www.channelnewsasia.com/business/china-files-appeal-against-wto-panel-report-us-steel-aluminium-tariffs-3783066,Business,465617f9-9b1c-4da1-b6b9-1d243788cc2b,3783066
UK says no evidence of political bank account closures,https://www.channelnewsasia.com/world/uk-says-no-evidence-political-bank-account-closures-3783016,World,facf006e-9fa2-4d4c-b138-a28c008b2a32,3783016
Philippines activists freed after alleged military abduction,https://www.channelnewsasia.com/asia/philippines-activists-freed-after-alleged-military-abduction-3782986,Asia,1303091a-215e-46fe-9463-487c3b6624e3,3782986
"Putin and Xi to meet in Beijing in October, Russia says ",https://www.channelnewsasia.com/world/putin-xi-meet-october-russia-china-3782246,World,4e3ec05a-db5a-4a2e-b8a0-a7227ffcde70,3782246
"At UN General Assembly, Biden asks world to stand by Ukraine",https://www.channelnewsasia.com/world/un-general-assembly-biden-asks-world-stand-ukraine-3782196,World,fb6dadd5-a20b-46ec-a942-acee3bdcad81,3782196
"Strained ties between India, Canada hit 'new low' after accusation of Sikh leader's murder",https://www.channelnewsasia.com/world/strained-ties-relations-between-india-canada-accusations-sikh-leader-murder-3782811,World,1890b46a-f1b4-4e47-8e3a-c7cbb6afba3d,3782811
What to know about the Sikh movement at the centre of tensions between India and Canada,https://www.channelnewsasia.com/world/sikh-movement-hardeep-singh-nijjar-canada-india-3782136,World,0db7122b-5d67-4e1a-97fd-fc8fe4d3c612,3782136
'Cybersecurity incident' hits International Criminal Court,https://www.channelnewsasia.com/world/cybersecurity-incident-hits-international-criminal-court-3783211,World,b58d6f20-95b9-45d6-818d-b2c981b091e0,3783211
China's ex-foreign minister Qin Gang was ousted after alleged affair: Report,https://www.channelnewsasia.com/asia/china-former-foreign-minister-qin-gang-extramarital-affair-3781751,Asia,79b3eb9d-9017-404b-89e4-38fa0c04592b,3781751
Dermal fillers and blindness: What causes it? Can it be reversed? What are the signs that something is wrong?,https://www.channelnewsasia.com/wellness/dermal-fillers-blindness-vascular-occlusion-blood-vessel-blockage-3775666,Wellness,487ac89d-7b55-4024-8606-16ce76f5d9bc,3775666
Rice farmers rejoicing but consumers frowning in Thailand amid global price spikes and shortages,https://www.channelnewsasia.com/asia/rice-farmers-rejoicing-consumers-frowning-thailand-amid-global-price-spikes-and-shortages-3779911,Asia,9e7a9364-6241-44cd-afec-7aa09bbfb3a9,3779911
"Thai ex-PM Thaksin had surgery last week, daughter says",https://www.channelnewsasia.com/asia/thaksin-surgery-thailand-paetongtarn-shinawatra-3782636,Asia,7470499a-85cf-432d-9306-670752bcbe54,3782636
Thai king's son urges open discussion of royal insult law,https://www.channelnewsasia.com/asia/thailand-king-son-urges-open-discussion-royal-insult-law-3782631,Asia,72091afd-9dc2-4247-9ea4-2aab730ae2d6,3782631
"Blindness caused by 'inadvertent' injection of dermal filler into bloodstream; product is safe, says distributor",https://www.channelnewsasia.com/singapore/woman-blind-dermal-fillers-aesthefill-parvus-accidental-injection-bloodstream-3782191,Singapore,16d9eead-3005-4740-b464-ce24383050be,3782191
"Man who killed 2-year-old daughter, left charred remains in pot gets over 21 years’ jail, caning",https://www.channelnewsasia.com/singapore/murder-girls-remains-pot-father-jailed-caning-3781291,Singapore,90314996-63b7-4bec-9672-003cebd8ee59,3781291
CNA Explains: Why do airlines offload luggage when faced with adverse weather conditions?,https://www.channelnewsasia.com/singapore/airlines-leave-luggage-behind-weather-conditions-scoot-cna-explains-3779361,Singapore,7c5c9c05-78e5-42f9-b7a8-c465d3f18dcb,3779361
China asks consulates in Hong Kong to give details on local staff,https://www.channelnewsasia.com/asia/china-asks-consulates-hong-kong-give-details-local-staff-3783196,Asia,46dd6d6b-c919-43ee-8392-46e8564abc2c,3783196
ASEAN kicks off its first-ever joint military drills in Indonesia ,https://www.channelnewsasia.com/asia/asean-first-joint-military-drills-indonesia-natuna-south-china-sea-3782106,Asia,9e59a41a-967b-45e6-93b9-f401f1e9c7e1,3782106
Graft accusations dog top Zelenskyy aides,https://www.channelnewsasia.com/world/graft-accusations-dog-top-zelenskyy-aides-3782431,World,030fe011-92d0-4188-a060-f6ff11cef953,3782431
Musk says X could charge all users 'small monthly payment',https://www.channelnewsasia.com/business/elon-musk-says-x-twitter-charge-all-users-small-monthly-payment-3782181,Business,9d895015-3e43-45b8-8f40-dfc95b5dbc88,3782181
Starbucks opens US$220 million plant outside Shanghai,https://www.channelnewsasia.com/business/starbucks-china-new-shanghai-plant-coffee-3782231,Business,983c4eca-21b2-4d9d-9fc9-235585874c78,3782231
International support crucial as Ukraine continues counteroffensive in drawn-out war: Observers,https://www.channelnewsasia.com/world/ukraine-war-russia-invasion-international-support-aid-crucial-analysts-3782101,World,3bd73ae6-ea03-4e60-b819-9b0ea4a8b711,3782101
Philippines activists freed after alleged military abduction,https://www.channelnewsasia.com/asia/philippines-activists-freed-after-alleged-military-abduction-3782986,,1303091a-215e-46fe-9463-487c3b6624e3,3782986
G7 ministers call on China to press Russia to stop aggression in Ukraine,https://www.channelnewsasia.com/world/g7-china-russia-war-ukraine-united-nations-general-assembly-3781621,,9c6b778b-3b85-4937-9e38-cdf818fafd88,3781621
India-Canada row: What is at stake?,https://www.channelnewsasia.com/world/india-canada-row-sikh-separatist-leader-3782076,,c3b2d8b6-3451-4a33-8e2f-0a3dc0409cac,3782076
"India will receive heavy monsoon rains in September, says weather chief",https://www.channelnewsasia.com/asia/india-will-receive-heavy-monsoon-rains-september-says-weather-chief-3782781,,068246a8-71ee-4cd5-a3bf-33993656d268,3782781
"Russia hails 'similarity' of China's position on US, Ukraine",https://www.channelnewsasia.com/world/russia-china-us-ukraine-conflict-wang-yi-sergei-lavrov-3781526,,bbb1da4c-e4c4-4259-b527-0ee6d0475466,3781526
How Hong Kong became a fencing powerhouse and cheered up a city,https://www.channelnewsasia.com/sport/hong-kong-fencing-pwoerhouse-edgar-cheung-olympic-gold-asian-games-3781746,,f5db0e7f-3593-4241-97d7-f953d9723c94,3781746
Thailand records 19 million foreign tourists so far this year,https://www.channelnewsasia.com/asia/thailand-tourism-19-million-foreign-tourists-visa-3781776,,6631dbbf-0507-46c3-9493-06c40e4f90b8,3781776
EU lawmakers to grill new climate chief on fossil fuels,https://www.channelnewsasia.com/world/eu-lawmakers-grill-new-climate-chief-fossil-fuels-3782481,,206b47c5-18c3-4b63-b6b5-7738d35b90b2,3782481
UK says no evidence of political bank account closures,https://www.channelnewsasia.com/world/uk-says-no-evidence-political-bank-account-closures-3783016,,facf006e-9fa2-4d4c-b138-a28c008b2a32,3783016
"Oyster farmers in Australia expand into tourism, offer in-water dining experience to keep industry alive",https://www.channelnewsasia.com/world/oyster-farmers-australia-expand-tourism-offer-water-dining-experience-keep-industry-alive-3782091,,131e1648-7dc2-4a27-90aa-8c934454be0f,3782091
"Climate change, conflict made Libya deluge more likely: Study",https://www.channelnewsasia.com/world/libya-floods-climate-change-conflict-derna-likely-research-3782936,,05d87415-5526-46d7-bd66-4c3330578ef5,3782936
Oyster farmers in Australia expand into tourism to keep industry alive | Video,https://www.channelnewsasia.com/watch/oyster-farmers-australia-expand-tourism-keep-industry-alive-video-3782731,,18bc98a0-d9bc-4740-b408-041f1c9b1412,3782731
Sydney issues total fire bans as spring heatwave grips Australia,https://www.channelnewsasia.com/world/australia-sydney-issues-first-total-fire-ban-schools-shut-heat-wave-bushfires-3781116,,88a203f1-a4dc-4352-95de-17647c785a23,3781116
"India expels Canadian diplomat, dismisses 'absurd' accusation of Sikh leader's murder",https://www.channelnewsasia.com/asia/india-dismiss-canada-accusation-sikh-separatist-leader-murder-absurd-3781491,,e766b0c7-3069-429c-aaab-b883b2a7d75e,3781491
US finds debris from missing F-35,https://www.channelnewsasia.com/world/united-states-missing-military-f-35-stealth-jet-debris-found-3781401,,4d34cfa9-b61a-46e2-9729-8527705f6f96,3781401
"In New York, Biden says he is running for re-election because democracy is at stake",https://www.channelnewsasia.com/world/us-president-joe-biden-running-re-election-democracy-stake-donald-trump-3781181,,3957284d-5e9d-471b-aaa0-95a399230da4,3781181
Parliament rejects proposal to suspend Iswaran as MP; will 'consider the matter' after outcome of graft probe,https://www.channelnewsasia.com/singapore/parliament-votes-against-psp-motion-suspension-iswaran-corruption-3782671,,cb5960ae-d0de-4205-a64c-c7eac188d586,3782671
Two construction workers dead in separate accidents at LTA worksites,https://www.channelnewsasia.com/singapore/two-construction-workers-dead-separate-accidents-lta-worksites-3782006,,3b6b508d-f98a-4b27-aa49-ee2fc4a9309b,3782006
"Over 1,000 Singaporeans restored to voter list after electronic errors lead to exclusion from Presidential poll",https://www.channelnewsasia.com/singapore/1093-restored-voter-list-registers-electors-errors-elections-3781996,,21041a03-347d-4cf9-9436-2d75c08b3cb2,3781996
SingPost increases postage rate for standard regular mail by 65% amid rising costs,https://www.channelnewsasia.com/singapore/singapore-post-singpost-postage-rates-increase-20-cents-65-cent-rising-cost-3781176,,637b9fb6-60e2-4aac-9a5b-d1217ee4c7ea,3781176
Former SkillsFuture chief executive Ong Tze-Ch’in to take over as chief executive of PUB,https://www.channelnewsasia.com/singapore/pub-ceo-ong-tze-chin-goh-si-hou-former-chief-army-3782071,,3bd59d4e-9c54-4f8a-9061-3f0826c44805,3782071
"Public transport fare hike is small compared to the increase in operating costs, analysts say",https://www.channelnewsasia.com/singapore/public-transport-council-fare-hike-analysts-reasonable-costs-3779801,,afd31ce4-090e-4669-bb1f-aad0f96bfb3b,3779801
Public transport fare hike: Adults to pay 10 to 11 cents more per journey from Dec 23,https://www.channelnewsasia.com/singapore/mrt-bus-fare-increase-10-11-cents-public-transport-council-3779086,,0813b018-04b8-4217-9640-326a13d58618,3779086
Home Team officers disciplined in 131 cases of workplace discrimination over last 5 years,https://www.channelnewsasia.com/singapore/mha-home-team-officers-disciplined-workplace-discrimination-3781431,,8d19ddd3-0066-4020-8e56-461a62fe1be2,3781431
"NUS academic 'truly sorry' for 'flawed and biased' article on recent political controversies, retracts it from website",https://www.channelnewsasia.com/singapore/east-asia-forum-nus-academic-sorry-flawed-biased-article-political-controversies-singapore-3781171,,e5f0b4dc-dbec-4c5f-8fce-8d5c85ec75e5,3781171
Commentary: What one more dash in the South China Sea tells us about China’s game,https://www.channelnewsasia.com/commentary/china-south-china-sea-map-ten-dash-line-3777486,,9d4f3e1a-2249-42b8-a285-f44d22162e7a,3777486
Commentary: Rice export bans and price caps are a food crisis risk for Asia,https://www.channelnewsasia.com/commentary/rice-price-cap-india-export-ban-food-security-3779046,,f10612d5-5552-4144-ab18-3a2d4b247e9b,3779046
Commentary: Being an only child doesn’t affect your development - family background matters more,https://www.channelnewsasia.com/commentary/only-child-social-development-sibling-parent-family-research-3778931,,fe05298e-db05-40da-bd59-e56dc378df05,3778931
"Commentary: TikTok influencers peddle ‘lazy girl jobs’, but there’s no such thing as a high-paying, low-stress job",https://www.channelnewsasia.com/commentary/lazy-girl-job-tiktok-flexible-office-task-pay-work-life-balance-3776376,,72064f36-f004-45fa-8ac6-95b99cbf5988,3776376
Commentary: Going on holiday will look very different because of climate change,https://www.channelnewsasia.com/commentary/travel-holiday-destination-beach-heatwave-climate-change-3773616,,0d82bcde-426e-4a1e-81e9-1fdce646ccae,3773616
